Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Primary Collection (product.metafields.custom.collection),Personalization type (product.metafields.custom.personalization_type),Product family (product.metafields.custom.product_family),Size Guide (product.metafields.custom.size_guide),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Care instructions (product.metafields.shopify.care-instructions),Case transparency level (product.metafields.shopify.case-transparency-level),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Material (product.metafields.shopify.material),Neckline (product.metafields.shopify.neckline),Personalization options (product.metafields.shopify.personalization-options),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
champagne-detox-crystal-t-shirt,CHAMPAGNE DETOX,"<p><meta charset=""utf-8""><span>Made from 100% cotton (270 gsm) for a structured yet relaxed fit. Finished with an acid-washed effect and subtle crystal detailing. Presented in premium, gift-ready packaging.</span></p>",Kauffman Concept,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Apparel,"crystal collection, t-shirt",true,Size,xs,product.metafields.shopify.size,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/CHAMPAIN-DETOX-CRYSTAL.png?v=1786379831,1,,false,Champagne Detox Crystal T-Shirt,,Crystal,,T-Shirt,t-shirt-cr,,adults,hand-wash,,origin,grey,cotton,,,crew,,xs; s; m; l,short,unisex,,,,,,,kg,,,active
champagne-detox-crystal-t-shirt,,,,,,,,,s,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
champagne-detox-crystal-t-shirt,,,,,,,,,m,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
champagne-detox-crystal-t-shirt,,,,,,,,,l,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
fckn-fbls-crystal-t-shirt,FCKN FBLS,"<p><meta charset=""utf-8""><span>Made from 100% cotton (270 gsm) for a structured yet relaxed fit. Finished with an acid-washed effect and subtle crystal detailing. Presented in premium, gift-ready packaging.</span></p>",Kauffman Concept,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Apparel,"crystal collection, t-shirt",true,Size,xs,product.metafields.shopify.size,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/FCKN-FBLS-CRYSTAL-T-SHIRT.png?v=1786379133,1,,false,FCKN FBLS Crystal T-Shirt,,Crystal,,T-Shirt,t-shirt-cr,,,,,,black,,,,,,xs; s; m; l,,,,,,,,,kg,,,active
fckn-fbls-crystal-t-shirt,,,,,,,,,s,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
fckn-fbls-crystal-t-shirt,,,,,,,,,m,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
fckn-fbls-crystal-t-shirt,,,,,,,,,l,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
girls-and-funds-crystal-t-shirt,GIRLS & FUNDS,"<p><meta charset=""utf-8""><span>Made from 100% cotton (270 gsm) for a structured yet relaxed fit. Finished with an acid-washed effect and subtle crystal detailing. Presented in premium, gift-ready packaging.</span></p>",Kauffman Concept,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Apparel,"crystal collection, t-shirt",true,Size,xs,product.metafields.shopify.size,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/GIRLS-_-FUNDS-CRYSTAL-T-SHIRT.png?v=1786379134,1,,false,Girls & Funds Crystal T-Shirt,,Crystal,,T-Shirt,t-shirt-cr,,,,,,black,,,,,,xs; s; m; l,,,,,,,,,kg,,,active
girls-and-funds-crystal-t-shirt,,,,,,,,,s,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
girls-and-funds-crystal-t-shirt,,,,,,,,,m,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
girls-and-funds-crystal-t-shirt,,,,,,,,,l,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
